"Symbol","trade_date","close_price","volume","daily_return_pct","ma_7day","ma_30day"
"TSLA","2024-05-10","168.47","72627200","-2.65","176.99","168.94"
"MSFT","2024-05-09","407.01","14689700","0.43","401.22","406.62"
"META","2024-05-09","472.62","9437700","1.15","456.55","481.18"
"GOOGL","2024-05-09","168.69","15346700","0.34","166.80","158.32"
"AMZN","2024-05-09","189.50","43368400","0.33","186.41","182.37"
"TSLA","2024-05-09","171.97","65950300","-1.74","178.64","169.18"
"NVDA","2024-05-09","88.70","378013000","-1.97","88.45","86.47"
"AAPL","2024-05-09","183.08","48983000","1.10","178.14","170.61"
"AAPL","2024-05-08","181.26","45057100","-0.06","176.12","170.23"
"NVDA","2024-05-08","90.37","325721000","1.04","88.12","86.52"
"MSFT","2024-05-08","405.26","11792300","0.58","397.98","406.92"
"TSLA","2024-05-08","174.72","79969500","1.82","180.25","169.44"
"GOOGL","2024-05-08","168.11","19569100","0.22","165.78","157.69"
"META","2024-05-08","469.82","11683900","1.96","450.13","481.79"
"AMZN","2024-05-08","188.00","26136400","0.30","184.34","182.05"
"MSFT","2024-05-07","404.07","20018200","-1.28","396.81","407.29"
"TSLA","2024-05-07","177.81","75045900","-2.52","183.01","169.54"
"NVDA","2024-05-07","90.51","437342000","-0.60","87.74","86.59"
"GOOGL","2024-05-07","169.97","28039700","1.63","165.32","157.07"
"META","2024-05-07","465.49","13406800","0.42","444.45","482.57"
"AMZN","2024-05-07","188.76","34048900","-0.08","183.34","181.72"
"AAPL","2024-05-07","180.92","77305800","-0.57","174.81","169.80"
"GOOGL","2024-05-06","166.84","21871300","0.38","165.42","156.37"
"NVDA","2024-05-06","92.09","376203000","3.08","87.34","86.74"
"META","2024-05-06","462.94","15094600","2.22","440.90","483.72"
"MSFT","2024-05-06","408.22","16996600","1.17","396.39","407.73"
"TSLA","2024-05-06","184.76","84390300","0.52","181.65","169.37"
"AAPL","2024-05-06","180.24","78569700","-0.35","172.95","169.42"
"AMZN","2024-05-06","188.70","34725300","1.30","182.03","181.42"
"NVDA","2024-05-03","88.74","398341000","1.14","85.98","86.81"
"MSFT","2024-05-03","401.43","17446700","1.09","394.34","408.23"
"TSLA","2024-05-03","181.19","75491500","-0.50","179.57","168.90"
"AAPL","2024-05-03","181.90","163224100","-1.75","171.28","169.11"
"GOOGL","2024-05-03","165.99","34662400","-0.19","163.71","155.79"
"META","2024-05-03","449.30","16489100","1.35","437.45","485.17"
"AMZN","2024-05-03","186.21","39172000","-0.42","179.88","181.09"
